id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to
756523229393526784,756523229393526784,1469204168000,2016-07-22,09:16:08,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,See the full interview at  http://www.hm.com/magazine  :) #beyourself #ForEveryVictory #HMSport #ad @hm #HMMagazine pic.twitter.com/K9aB0posO4,['hm'],['http://www.hm.com/magazine'],[],94,204,1042,"['#beyourself', '#foreveryvictory', '#hmsport', '#ad', '#hmmagazine']",[],https://twitter.com/Caitlyn_Jenner/status/756523229393526784,False,,1,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '14399483', 'username': 'hm'}]"
756254805350375424,756254805350375424,1469140170000,2016-07-21,15:29:30,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,"Great moves, @NBA. Now... What about you, @NCAA?? https://twitter.com/nba/status/756240627147223040 …","['nba', 'ncaa']",['https://twitter.com/nba/status/756240627147223040'],[],43,134,739,[],[],https://twitter.com/Caitlyn_Jenner/status/756254805350375424,False,https://twitter.com/NBA/status/756240627147223040,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '19923144', 'username': 'NBA'}, {'user_id': '31122496', 'username': 'NCAA'}]"
756180029680168960,756180029680168960,1469122342000,2016-07-21,10:32:22,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Still gives me goosebumps everytime. What's your victory? #ForEveryVictory #HMSport #ad @hm pic.twitter.com/CvMptkNszV,['hm'],[],[],60,452,2230,"['#foreveryvictory', '#hmsport', '#ad']",[],https://twitter.com/Caitlyn_Jenner/status/756180029680168960,False,,1,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '14399483', 'username': 'hm'}]"
756162784212025344,756162784212025344,1469118231000,2016-07-21,09:23:51,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,"For all who take on challenges, fight prejudice&conquer fears! Share your story under #ForEveryVictory #HMSport @hm https://twitter.com/hm/status/756156967253635072 …",['hm'],['https://twitter.com/hm/status/756156967253635072'],[],47,99,719,"['#foreveryvictory', '#hmsport']",[],https://twitter.com/Caitlyn_Jenner/status/756162784212025344,False,https://twitter.com/hm/status/756156967253635072,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '14399483', 'username': 'hm'}]"
755799693867692032,755799693867692032,1469031663000,2016-07-20,09:21:03,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Great Q&A this morning with @MargaretHoover at @AmericanUnity #BigTentBrunch #GOPinCLE pic.twitter.com/FXkVZwRCVA,"['margarethoover', 'americanunity']",[],['https://pbs.twimg.com/media/Cn0jz5gUIAA2V4X.jpg'],113,153,1118,"['#bigtentbrunch', '#gopincle']",[],https://twitter.com/Caitlyn_Jenner/status/755799693867692032,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '16103326', 'username': 'MargaretHoover'}, {'user_id': '1299984960', 'username': 'AmericanUnity'}]"
752602229941604353,752602229941604353,1468269328000,2016-07-11,13:35:28,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Yes! This is the type of conversation we're looking forward to next week! Watch and share... #RNCinCLE #fairnessUSA https://twitter.com/glaad/status/752540357359988736 …,[],['https://twitter.com/glaad/status/752540357359988736'],[],192,174,893,"['#rncincle', '#fairnessusa']",[],https://twitter.com/Caitlyn_Jenner/status/752602229941604353,False,https://twitter.com/glaad/status/752540357359988736,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
751633409038884865,751633409038884865,1468038344000,2016-07-08,21:25:44,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Can't wait to hit the road to Cleveland! #gop #lgbt http://www.thedailybeast.com/articles/2016/07/09/caitlyn-jenner-is-headed-to-cleveland-during-gop-convention.html?via=desktop&source=twitter …,[],['http://www.thedailybeast.com/articles/2016/07/09/caitlyn-jenner-is-headed-to-cleveland-during-gop-convention.html?via=desktop&source=twitter'],[],331,289,1174,"['#gop', '#lgbt']",[],https://twitter.com/Caitlyn_Jenner/status/751633409038884865,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
751139141367115776,751139141367115776,1467920501000,2016-07-07,12:41:41,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Look at my beautiful gals! #macaidsfund #trans @MACcosmetics #finallyfree  http://bit.ly/MACCJ1  pic.twitter.com/Wz7N3NafgM,['maccosmetics'],['http://bit.ly/MACCJ1'],['https://pbs.twimg.com/media/CmyVEJHUcAA8V-W.jpg'],106,262,1966,"['#macaidsfund', '#trans', '#finallyfree']",[],https://twitter.com/Caitlyn_Jenner/status/751139141367115776,False,,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}, {'user_id': '15225275', 'username': 'MACcosmetics'}]"
748589940066250752,748589940066250752,1467312724000,2016-06-30,11:52:04,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,Great start to the morning!! https://twitter.com/deptofdefense/status/748575976435511297 …,[],['https://twitter.com/deptofdefense/status/748575976435511297'],[],81,132,887,[],[],https://twitter.com/Caitlyn_Jenner/status/748589940066250752,False,https://twitter.com/DeptofDefense/status/748575976435511297,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
748213112470376448,748213112470376448,1467222881000,2016-06-29,10:54:41,PDT,3303293865,caitlyn_jenner,Caitlyn Jenner,,They'll live in our memories. #stopthehate https://twitter.com/hrc/status/748209089541443584 …,[],['https://twitter.com/hrc/status/748209089541443584'],[],75,201,946,['#stopthehate'],[],https://twitter.com/Caitlyn_Jenner/status/748213112470376448,False,https://twitter.com/HRC/status/748209089541443584,0,,,,,,,"[{'user_id': '3303293865', 'username': 'Caitlyn_Jenner'}]"
